date,temp,wind,rain
2013020203,-0.325,2.675,0
2013020204,-1.225,2.125,0
2013020205,-1.825,2,0
2013020206,-2.35,2.525,0
2013020207,-3.05,2,0
2013020208,-3.425,2.15,0
2013020209,-3.55,2,0
2013020300,-6.35,2.45,0
2013020301,-6.9,2.1,0
2013020310,-4.25,2.275,0
2013020311,-2.825,2.425,0
2013020312,-2.375,1.775,0
2013020313,-1.625,1.275,0
2013020314,-1.45,1.125,0
2013020315,-1.975,2.675,0.125
2013020316,-2.825,1.8,0
2013020317,-2.175,1.725,0.25
2013020318,-1.65,2.675,0.375
2013020319,-2.275,2.225,0.375
2013020302,-6.975,1.7,0
2013020320,-2.325,2.7,0.5
2013020321,-2.2,2.525,0.875
2013020322,-2.65,2.75,0.75
2013020323,-2.65,2.675,0.875
2013020303,-6.925,1.9,0
2013020304,-6.95,1.775,0
2013020305,-6.725,3.1,0
2013020306,-7.125,2.7,0
2013020307,-6.025,1.85,0
2013020308,-5.575,1.725,0
2013020309,-4.8,2.225,0
2013020400,-2.325,2.35,1.25
2013020401,-1,2.025,2.125
2013020410,-2.7,3.65,0
2013020411,-1.475,2.425,0
2013020412,-1.35,2.6,0
2013020413,-1.1,2.9,0
2013020414,-0.15,2.425,0
2013020415,-0.425,2.8,0
2013020416,-0.875,2.65,0
2013020417,-1.475,2.625,0
2013020418,-2.825,3,0
2013020419,-3.425,2.425,0
2013020402,-0.55,1.5,1.625
2013020420,-4.35,2.3,0
2013020421,-4.95,2.025,0
2013020422,-5.2,1.65,0
2013020423,-5.425,1.675,0
2013020403,-0.375,1.475,0.5
2013020404,-0.475,1.35,0.625
2013020405,-0.75,2.05,0.375
2013020406,-1.5,2.125,0.375
2013020407,-1.675,2.225,0.125
2013020408,-1.875,2.575,0.125
2013020409,-2.475,4.05,0.125
2013020500,-5.7,1.025,0
2013020501,-5.3,1.725,0
2013020510,-2.825,2.75,0
2013020511,-2.1,2.525,0
2013020512,-1.375,2.55,0
2013020513,-0.525,3.325,0
2013020514,0.65,2.325,0
2013020515,0.95,1.6,0
2013020516,0.825,3.15,0
2013020517,0.6,3.4,0
2013020518,0.4,3.25,0
2013020519,0.2,3.175,0.125
2013020502,-5.3,1.375,0
2013020520,-0.25,2.7,0
2013020521,-0.175,2.075,0.875
2013020522,-0.425,0.95,0.625
2013020523,-0.725,1.125,1.25
2013020503,-5.225,1.7,0
2013020504,-5.45,2.1,0
2013020505,-5.65,3.425,0
2013020506,-5.2,3.25,0
2013020507,-4.8,2.7,0
2013020508,-4.225,2.35,0
2013020509,-3.8,2.775,0
2013020600,-0.775,1.925,0.75
2013020601,-0.95,1.625,0.625
2013020610,-3.7,1.35,0
2013020611,-3.15,0.975,0
2013020612,-2.35,1.45,0
2013020613,-2.7,2.175,0
2013020614,-2.95,1.9,0
2013020615,-2.925,1.425,0
2013020616,-2.975,1.325,0
2013020617,-3.525,1.55,0
2013020618,-4.125,2.025,0
2013020619,-4.475,2.25,0
2013020602,-1.15,2.425,0.5
2013020620,-4.625,1.8,0
2013020621,-4.75,2.75,0
